wind_speed_kmph,humidity_pct,payload_mass_kg,vehicle_type_index,countdown_hold_min
11.7,40.1,7944.3,1,17.09
3.6,52.9,15882.5,3,63.18
39.1,45.0,19180.6,4,127.62
35.5,42.3,11069.5,2,77.22
9.8,74.0,18832.4,3,92.13
30.0,83.7,11502.9,1,29.74
19.0,84.7,2421.5,4,65.49
39.8,89.5,13473.7,2,71.15
20.6,75.1,6104.9,3,57.86
19.0,69.2,11563.5,1,41.91
6.2,61.4,1633.6,1,3.03
14.0,47.4,10653.0,3,81.86
26.7,70.7,5496.8,4,76.63
7.4,65.4,18850.8,1,52.97
17.2,86.6,16410.7,4,112.43
28.5,57.1,19719.5,4,124.86
3.2,74.9,6171.2,1,3.18
39.4,89.2,12858.7,1,53.71
32.3,68.5,14570.0,2,74.46
30.0,56.9,2147.9,1,3.16
20.1,56.2,4102.1,4,75.5
33.3,39.1,16151.4,2,78.89
33.4,49.3,10693.7,3,78.15
25.3,52.5,6811.2,3,68.52
39.5,60.2,10459.6,1,57.36